Species,Ns,Nr,Nm
Araucaria angustifolia,168,6,6
Casearia decandra,35,2,1
Daphnopsis fasciculata,32,20,2
Drimys angustifolia,30,3,8
Eugenia handroi,30,3,1
Eugenia oeidocarpa,12,0,1
Eugenia subterminalis,46,3,1
Eugenia uruguayensis,10,0,1
Ilex microdonta,60,2,2
Ilex paraguariensis,16,4,1
Laplacea acutifolia,13,1,2
Myrceugenia euosma,40,3,5
Myrceugenia mesomischa,47,3,1
Myrceugenia miersiana,53,6,9
Myrceugenia myrcioides,174,27,23
Myrceugenia oxysepala,10,2,3
Myrcia glomerata,20,3,2
Myrcia guianensis,13,1,0
Myrcia lajeana,11,3,1
Myrcia oligantha,38,3,2
Myrcia retorta,161,9,8
Myrciaria floribunda,14,0,0
Myrsine lorentziana,25,9,8
Nectandra grandiflora,15,4,3
Ocotea bicolor,25,1,2
Ocotea elegans,13,0,3
Ocotea porosa,15,0,0
Ocotea pulchella,14,2,1
Piptocarpha axillaris,11,3,0
Podocarpus lambertii,46,2,1
Sapium glandulosum,30,2,3
Siphoneugena reitzii,65,10,8
Weinmannia pinnata,9,1,1
Zanthoxylum rhoifolium,8,0,2
