Species,Ns,Nm,Nr
Araucaria angustifolia,6,5,2
Casearia decandra,19,5,7
Daphnopsis fasciculata,164,6,44
Drimys angustifolia,5,1,2
Eugenia handroi,7,2,2
Eugenia subterminalis,16,0,3
Eugenia uruguayensis,8,3,2
Ilex microdonta,5,2,2
Ilex paraguariensis,54,5,20
Myrceugenia euosma,8,0,3
Myrceugenia mesomischa,29,3,0
Myrceugenia miersiana,21,7,8
Myrceugenia myrcioides,153,41,50
Myrceugenia oxysepala,20,7,3
Myrcia glomerata,48,3,2
Myrcia guianensis,9,3,1
Myrcia lajeana,3,0,0
Myrcia oligantha,30,7,4
Myrcia retorta,43,9,13
Myrciaria floribunda,5,0,0
Myrsine lorentziana,60,25,30
Nectandra grandiflora,47,4,18
Ocotea bicolor,10,0,4
Ocotea elegans,9,0,6
Ocotea porosa,1,1,0
Piptocarpha axillaris,7,1,3
Podocarpus lambertii,9,0,4
Sapium glandulosum,3,1,0
Siphoneugena reitzii,44,20,16
Weinmannia pinnata,3,2,1
Zanthoxylum rhoifolium,2,0,0
