Species,Origin,Deciduousness
Araucaria angustifolia,Temperate,Evergreen
Myrcia glomerata,Tropical,Evergreen
Casearia decandra,Tropical,Deciduous
Daphnopsis fasciculata,Tropical,Deciduous
Drimys angustifolia,Temperate,Deciduous
Eugenia handroi,Tropical,Deciduous
Eugenia oeidocarpa,Tropical,Evergreen
Eugenia subterminalis,Tropical,Evergreen
Eugenia uruguayensis,Temperate,Evergreen
Ilex microdonta,Temperate,Deciduous
Ilex paraguariensis,Temperate,Deciduous
Laplacea acutifolia,Temperate,Deciduous
Myrceugenia euosma,Temperate,Evergreen
Myrceugenia mesomischa,Temperate,Evergreen
Myrceugenia miersiana,Temperate,Evergreen
Myrceugenia myrcioides,Temperate,Evergreen
Myrceugenia oxysepala,Temperate,Evergreen
Myrcia guianensis,Tropical,Evergreen
Myrcia lajeana,Temperate,Deciduous
Myrcia oligantha,Temperate,Evergreen
Myrcia retorta,Temperate,Deciduous
Myrciaria floribunda,Tropical,Evergreen
Myrsine lorentziana,Tropical,Evergreen
Nectandra grandiflora,Tropical,Evergreen
Ocotea bicolor,Temperate,Evergreen
Ocotea elegans,Tropical,Evergreen
Ocotea porosa,Temperate,Deciduous
Ocotea pulchella,Tropical,Deciduous
Piptocarpha axillaris,Tropical,Evergreen
Podocarpus lambertii,Temperate,Evergreen
Sapium glandulosum,Tropical,Deciduous
Siphoneugena reitzii,Temperate,Deciduous
Weinmannia pinnata,Temperate,Deciduous
Zanthoxylum rhoifolium,Tropical,Deciduous
