"","Species","N1","Ns","N2","t","Raf","Ma","turnover","growth_finite"
"1","Araucaria angustifolia",174,168,174,5.594278,0.625308406619185,0.625308406619185,0.625308406619185,1
"2","Casearia decandra",36,35,37,5.594278,0.98841648029302,0.502300143275625,0.745358311784322,1.00490969157079
"3","Daphnopsis fasciculata",34,32,52,5.594278,8.31271742465757,1.07783906675871,4.69527824570814,1.07890819920368
"4","Drimys angustifolia",38,30,33,5.594278,1.68927728160668,4.13751389270133,2.913395587154,0.975096952362892
"5","Eugenia handroi",31,30,33,5.594278,1.68927728160668,0.58441705194362,1.13684716677515,1.01123845089439
"6","Eugenia oeidocarpa",13,12,12,5.594278,0,1.42060879020647,0.710304395103234,0.985793912097935
"7","Eugenia subterminalis",47,46,49,5.594278,1.12299542162292,0.383694191731698,0.753344806677309,1.00747697842429
"8","Eugenia uruguayensis",11,10,10,5.594278,0,1.68927728160668,0.844638640803341,0.983107227183933
"9","Ilex microdonta",62,60,62,5.594278,0.58441705194362,0.58441705194362,0.58441705194362,1
"10","Ilex paraguariensis",17,16,20,5.594278,3.91027729996012,1.07783906675871,2.49405818335942,1.02947701537284
"11","Laplacea acutifolia",15,13,14,5.594278,1.3159745464455,2.52554664742778,1.92076059693664,0.987742979723182
"12","Myrceugenia euosma",45,40,43,5.594278,1.28444104368278,2.08341055228217,1.68392579798248,0.991906346709206
"13","Myrceugenia mesomischa",48,47,50,5.594278,1.09995384505005,0.375631007783173,0.737792426416611,1.00732378664548
"14","Myrceugenia miersiana",62,53,59,5.594278,1.89879889223393,2.76468633732064,2.33174261477729,0.991173528608121
"15","Myrceugenia myrcioides",197,174,201,5.594278,2.54556062674791,2.19476061340717,2.37016062007754,1.00359963092084
"16","Myrceugenia oxysepala",13,10,12,5.594278,3.20653667208178,4.58159312046347,3.89406489627263,0.985793912097935
"17","Myrcia glomerata",22,20,23,5.594278,2.46735241425068,1.68927728160668,2.07831484792868,1.00797758649954
"18","Myrcia guianensis",13,13,14,5.594278,1.3159745464455,0,0.657987273222749,1.01333523374626
"19","Myrcia lajeana",12,11,14,5.594278,4.21927300636069,1.5433305223696,2.88130176436515,1.0279382143776
"20","Myrcia oligantha",40,38,41,5.594278,1.34909607995006,0.912697943563112,1.13089701175659,1.00442366079829
"21","Myrcia retorta",169,161,170,5.594278,0.967604503450348,0.863109909979487,0.915357206714917,1.00105515566848
"22","Myrciaria floribunda",14,14,14,5.594278,0,0,0,1
"23","Myrsine lorentziana",33,25,34,5.594278,5.34809139586728,4.8416466581606,5.09486902701394,1.00535060248837
"24","Nectandra grandiflora",18,15,19,5.594278,4.13751389270133,3.20653667208178,3.67202528239156,1.00971159061718
"25","Ocotea bicolor",27,25,26,5.594278,0.69863436134473,1.36629034211413,1.03246235172943,0.993276467282445
"26","Ocotea elegans",16,13,13,5.594278,0,3.64360136308878,1.82180068154439,0.963563986369112
"27","Ocotea porosa",15,15,15,5.594278,0,0,0,1
"28","Ocotea pulchella",15,14,16,5.594278,2.3586662643173,1.22570202768184,1.79218414599957,1.01160332610473
"29","Piptocarpha axillaris",11,11,14,5.594278,4.21927300636069,0,2.10963650318035,1.04405137796293
"30","Podocarpus lambertii",47,46,48,5.594278,0.757883925155656,0.383694191731698,0.570789058443677,1.0037704731441
"31","Sapium glandulosum",33,30,32,5.594278,1.14702332478533,1.68927728160668,1.41815030319601,0.994514540936861
"32","Siphoneugena reitzii",73,65,75,5.594278,2.52554664742778,2.05346073102792,2.28950368922785,1.00484317582877
"33","Weinmannia pinnata",10,9,10,5.594278,1.86573772430401,1.86573772430401,1.86573772430401,1
"34","Zanthoxylum rhoifolium",10,8,8,5.594278,0,3.91027729996012,1.95513864998006,0.960897227000399
