"","Species","N1","Ns","N2","t","Raf","Ma","turnover","growth_finite"
"1","Araucaria angustifolia",11,6,8,5.594278,5.01244883205112,10.2685841737509,7.64051650290102,0.944665008445092
"2","Casearia decandra",24,19,26,5.594278,5.45247495783369,4.08996862137921,4.77122178960645,1.01441080912321
"3","Daphnopsis fasciculata",170,164,208,5.594278,4.15949445451522,0.640240981356244,2.39986771793573,1.03671989680281
"4","Drimys angustifolia",6,5,7,5.594278,5.83727506762196,3.20653667208178,4.52190586985187,1.0279382143776
"5","Eugenia handroi",9,7,9,5.594278,4.39293611475556,4.39293611475556,4.39293611475556,1
"6","Eugenia subterminalis",16,16,19,5.594278,3.02519020518863,0,1.51259510259432,1.03119562916998
"7","Eugenia uruguayensis",11,8,10,5.594278,3.91027729996012,5.53349915549075,4.72188822772543,0.983107227183933
"8","Ilex microdonta",7,5,7,5.594278,5.83727506762196,5.83727506762196,5.83727506762196,1
"9","Ilex paraguariensis",59,54,74,5.594278,5.47652991636269,1.57046561749909,3.52349776693089,1.04132375055007
"10","Myrceugenia euosma",8,8,11,5.594278,5.53349915549075,0,2.76674957774538,1.05857631124285
"11","Myrceugenia mesomischa",32,29,29,5.594278,0,1.74426489270592,0.872132446352958,0.982557351072941
"12","Myrceugenia miersiana",28,21,29,5.594278,5.606413974746,5.01244883205112,5.30943140339856,1.00629243116726
"13","Myrceugenia myrcioides",194,153,203,5.594278,4.92897509369691,4.15518715943985,4.54208112656838,1.00813905114644
"14","Myrceugenia oxysepala",27,20,23,5.594278,2.46735241425068,5.22314190097501,3.84524715761285,0.971744953562329
"15","Myrcia glomerata",51,48,50,5.594278,0.727053877072448,1.07783906675871,0.90244647191558,0.996466457344261
"16","Myrcia guianensis",12,9,10,5.594278,1.86573772430401,5.01244883205112,3.43909327817756,0.967934633279182
"17","Myrcia lajeana",3,3,3,5.594278,0,0,0,1
"18","Myrcia oligantha",37,30,34,5.594278,2.21249932604468,3.67944090914406,2.94597011759437,0.984998680066581
"19","Myrcia retorta",52,43,56,5.594278,4.61207338749291,3.34005308954358,3.97606323851825,1.01333523374626
"20","Myrciaria floribunda",5,5,5,5.594278,0,0,0,1
"21","Myrsine lorentziana",85,60,90,5.594278,6.9914294964386,6.0362617670967,6.51384563176765,1.01026967433399
"22","Nectandra grandiflora",51,47,65,5.594278,5.63115155582042,1.44942137679314,3.54028646630678,1.04431261213811
"23","Ocotea bicolor",10,10,14,5.594278,5.83727506762196,0,2.91863753381098,1.06199135668402
"24","Ocotea elegans",9,9,15,5.594278,8.72672548315944,0,4.36336274157972,1.09561096092317
"25","Ocotea porosa",2,1,1,5.594278,0,11.6534365023518,5.82671825117591,0.883465634976482
"26","Piptocarpha axillaris",8,7,10,5.594278,6.17671317276201,2.3586662643173,4.26768971853965,1.04069402210855
"27","Podocarpus lambertii",9,9,13,5.594278,6.36185033354487,0,3.18092516677244,1.06794079503072
"28","Sapium glandulosum",4,3,3,5.594278,0,5.01244883205112,2.50622441602556,0.949875511679489
"29","Siphoneugena reitzii",64,44,60,5.594278,5.39325931925014,6.47842070167752,5.93584001046383,0.988529766752147
"30","Weinmannia pinnata",5,3,4,5.594278,5.01244883205112,8.72672548315944,6.86958715760528,0.960897227000399
"31","Zanthoxylum rhoifolium",2,2,2,5.594278,0,0,0,1
