"","Species","N1","Ns","N2","t","Raf","Ma","turnover","growth_finite"
"1","Araucaria angustifolia",185,174,182,5.594278,0.800304756508297,1.08979018001484,0.945047468261567,0.997081791201112
"2","Casearia decandra",60,54,63,5.594278,2.71788848656828,1.86573772430401,2.29181310543614,1.00875958332942
"3","Daphnopsis fasciculata",204,196,260,5.594278,4.92555771207794,0.71256082672585,2.8190592694019,1.04431261213811
"4","Drimys angustifolia",44,35,40,5.594278,2.3586662643173,4.00809913257195,3.18338269844463,0.983107227183933
"5","Eugenia handroi",40,37,42,5.594278,2.240263323682,1.38392876400321,1.8120960438426,1.00875958332942
"6","Eugenia subterminalis",63,62,68,5.594278,1.63765299746994,0.285603998360084,0.961628497915012,1.01374559514196
"7","Eugenia uruguayensis",22,18,20,5.594278,1.86573772430401,3.52349752239965,2.69461762335183,0.983107227183933
"8","Ilex microdonta",69,65,69,5.594278,1.06182804661125,1.06182804661125,1.06182804661125,1
"9","Ilex paraguariensis",76,70,94,5.594278,5.13322240492995,1.4592872050655,3.29625480499772,1.03872731100393
"10","Myrceugenia euosma",53,48,54,5.594278,2.08341055228217,1.75569515123504,1.9195528517586,1.00334688333096
"11","Myrceugenia mesomischa",80,76,79,5.594278,0.68964862232237,0.912697943563112,0.801173282942741,0.997754017399531
"12","Myrceugenia miersiana",90,74,88,5.594278,3.04982765140596,3.43850639838007,3.24416702489301,0.995990943207645
"13","Myrceugenia myrcioides",391,327,404,5.594278,3.70929479243,3.14467585475035,3.42698532359017,1.00586369096023
"14","Myrceugenia oxysepala",40,30,35,5.594278,2.71788848656828,5.01244883205112,3.8651686593097,0.976413337356827
"15","Myrcia glomerata",73,68,73,5.594278,1.2602822886847,1.2602822886847,1.2602822886847,1
"16","Myrcia guianensis",25,22,24,5.594278,1.5433305223696,2.25916355504312,1.90124703870636,0.992729461229276
"17","Myrcia lajeana",15,14,17,5.594278,3.41108270462475,1.22570202768184,2.31839236615329,1.02262558415744
"18","Myrcia oligantha",77,68,75,5.594278,1.73619119234492,2.19737057863018,1.96678088548755,0.995306721855368
"19","Myrcia retorta",221,204,226,5.594278,1.81405427492813,1.42060879020647,1.6173315325673,1.00400714666255
"20","Myrciaria floribunda",19,19,19,5.594278,0,0,0,1
"21","Myrsine lorentziana",118,85,124,5.594278,6.5275043676304,5.6951250870969,6.11131472736365,1.00890507175295
"22","Nectandra grandiflora",69,62,84,5.594278,5.28373707613111,1.89400424608571,3.58887066110841,1.03578828730574
"23","Ocotea bicolor",37,35,40,5.594278,2.3586662643173,0.98841648029302,1.67354137230516,1.01403350130114
"24","Ocotea elegans",25,22,28,5.594278,4.21927300636069,2.25916355504312,3.23921828070191,1.02046454973606
"25","Ocotea porosa",17,16,16,5.594278,0,1.07783906675871,0.538919533379356,0.989221609332413
"26","Piptocarpha axillaris",19,18,24,5.594278,5.01244883205112,0.961818276370141,2.98713355421063,1.04264380443411
"27","Podocarpus lambertii",56,55,61,5.594278,1.83380913861078,0.321569984508285,1.07768956155953,1.01540488778094
"28","Sapium glandulosum",37,33,35,5.594278,1.04628587454086,2.02436069281895,1.53532328367991,0.99011583519707
"29","Siphoneugena reitzii",137,109,135,5.594278,3.75183759159365,4.0045209314455,3.87817926151958,0.997374668424529
"30","Weinmannia pinnata",15,12,14,5.594278,2.71788848656828,3.91027729996012,3.3140828932642,0.987742979723182
"31","Zanthoxylum rhoifolium",12,10,10,5.594278,0,3.20653667208178,1.60326833604089,0.967934633279182
